token_urn	surface_form	normalized_form	reason
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.4.token4	Ἰωσὴφ	Ἰωσήφ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.4.token7	Γαλιλαίας	Γαλιλαίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.4.token10	Ναζαρὲθ	Ναζαρέθ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.4.token16	Δαυὶδ	Δαυίδ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.4.token19	Βηθλέεμ	Βηθλέεμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.4.token29	Δαυίδ	Δαυίδ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.5.token3	Μαριὰμ	Μαριάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.5.token5	ʹἐμνηστευμένῃ	ʹἐμνηστευμένῃ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.5.token6	αὐτῷʹ	αὐτῷʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.11.token12	Δαυίδ	Δαυίδ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.15.token22	Βηθλέεμ	Βηθλέεμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.16.token8	Μαριὰμ	Μαριάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.16.token11	Ἰωσὴφ	Ἰωσήφ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.19.token3	Μαρία	Μαρία	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.21.token24	συλλημφθῆναι	συλλημφθῆναι	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.22.token12	Μωϋσέως	Μωϋσέως	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.22.token17	Ἱεροσόλυμα	Ἱεροσόλυμα	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.24.token17	νοσσοὺς	νοσσούς	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.25.token3	ʹἄνθρωπος	ʹἄνθρωπος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.25.token4	ἦνʹ	ἦνʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.25.token6	Ἰερουσαλὴμ	Ἰερουσαλήμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.25.token9	Συμεών	Συμεών	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.25.token22	Ἰσραήλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.26.token14	ʹἢ	ʹἤ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.26.token15	ἂνʹ	ἄνʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.32.token9	Ἰσραήλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.33.token3	ʹὁ	ʹὁ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.33.token5	αὐτοῦʹ	αὐτοῦʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.34.token4	Συμεὼν	Συμεών	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.34.token8	Μαριὰμ	Μαριάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.34.token23	Ἰσραὴλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.36.token3	Ἅννα	Ἅννα	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.36.token7	Φανουήλ	Φανουήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.36.token11	Ἀσήρ	Ἀσήρ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.36.token20	ʹμετὰ	ʹμετά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.36.token22	ἔτηʹ	ἔτηʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.38.token17	Ἰερουσαλήμ	Ἰερουσαλήμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.39.token14	Γαλιλαίαν	Γαλιλαίαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.39.token18	Ναζαρέθ	Ναζαρέθ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.40.token7	ʹπληρούμενον	ʹπληρούμενον	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.40.token8	σοφίᾳʹ	σοφίᾳʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.41.token9	Ἰερουσαλὴμ	Ἰερουσαλήμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.43.token15	Ἰερουσαλήμ	Ἰερουσαλήμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.43.token19	ʹἔγνωσαν	ʹἔγνωσαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.43.token21	γονεῖσʹ	γονεῖσʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.44.token4	ʹεἶναι	ʹεἶναι	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.44.token7	συνοδίᾳʹ	συνοδίᾳʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.45.token6	Ἰερουσαλὴμ	Ἰερουσαλήμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.46.token11	καθεζόμενον	καθεζόμενον	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.48.token7	ʹεἶπεν	ʹεἶπεν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.48.token12	αὐτοῦʹ	αὐτοῦʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.51.token8	Ναζαρὲθ	Ναζαρέθ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.52.token4	ʹσοφίᾳ	ʹσοφίᾳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.52.token6	ἡλικίᾳʹ	ἡλικίᾳʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token7	Τιβερίου	Τιβερίου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token12	Πιλάτου	Πιλάτου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token17	τετρααρχοῦντος	τετρααρχοῦντος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token19	Γαλιλαίας	Γαλιλαίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token20	Ἡρῴδου	Ἡρῴδου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token27	τετρααρχοῦντος	τετρααρχοῦντος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token29	Ἰτουραίας	Ἰτουραίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token37	Ἀβιληνῆς	Ἀβιληνῆς	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.1.token38	τετρααρχοῦντος	τετρααρχοῦντος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.2.token3	Ἅννα	Ἅννα	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.2.token5	Καϊάφα	Καϊάφα	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.2.token11	Ἰωάννην	Ἰωάννην	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.2.token13	Ζαχαρίου	Ζαχαρίου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.3.token7	Ἰορδάνου	Ἰορδάνου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.4.token6	Ἠσαΐου	Ἠσαΐου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.5.token16	εὐθείαν	εὐθείαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.8.token18	Ἀβραάμ	Ἀβραάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.8.token34	Ἀβραάμ	Ἀβραάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.14.token8	ʹΤί	ʹΤί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.14.token11	ἡμεῖσʹ	ἡμεῖσʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.15.token14	Ἰωάννου	Ἰωάννου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.16.token2	ʹλέγων	ʹλέγων	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.16.token5	Ἰωάννησʹ	Ἰωάννησʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.17.token8	διακαθᾶραι	διακαθᾶραι	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.19.token3	Ἡρῴδης	Ἡρῴδης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.19.token5	τετραάρχης	τετραάρχης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.19.token11	Ἡρῳδιάδος	Ἡρῳδιάδος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.19.token24	Ἡρῴδης	Ἡρῴδης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.20.token10	Ἰωάννην	Ἰωάννην	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.21.token14	ἀνεῳχθῆναι	ἀνεῳχθῆναι	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.23.token5	ʹἀρχόμενος	ʹἀρχόμενος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.23.token8	τριάκονταʹ	τριάκονταʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.23.token11	ʹυἱός	ʹυἱός	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.23.token14	ἐνομίζετοʹ	ἐνομίζετοʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.23.token16	Ἰωσὴφ	Ἰωσήφ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.23.token18	Ἠλὶ	Ἠλί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.24.token2	Μαθθὰτ	Μαθθάτ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.24.token4	Λευὶ	Λευί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.24.token6	Μελχὶ	Μελχί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.24.token8	Ἰανναὶ	Ἰανναί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.24.token10	Ἰωσὴφ	Ἰωσήφ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.25.token2	Ματταθίου	Ματταθίου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.25.token6	Ναοὺμ	Ναούμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.25.token8	Ἑσλὶ	Ἑσλί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.25.token10	Ναγγαὶ	Ναγγαί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.26.token2	Μάαθ	Μάαθ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.26.token4	Ματταθίου	Ματταθίου	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.26.token6	Σεμεῒν	Σεμεΐν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.26.token8	Ἰωσὴχ	Ἰωσήχ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.26.token10	Ἰωδὰ	Ἰωδά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.27.token2	Ἰωανὰν	Ἰωανάν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.27.token4	Ῥησὰ	Ῥησά	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.27.token6	Ζοροβαβὲλ	Ζοροβαβέλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.27.token8	Σαλαθιὴλ	Σαλαθιήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.28.token2	Μελχὶ	Μελχί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.28.token4	Ἀδδὶ	Ἀδδί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.28.token6	Κωσὰμ	Κωσάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.28.token8	Ἐλμαδὰμ	Ἐλμαδάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.28.token10	Ἢρ	Ἤρ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.29.token4	Ἐλιέζερ	Ἐλιέζερ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:3.29.token6	Ἰωρὶμ	Ἰωρίμ	no_match_in_morph_dict
