urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T0312408285
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448573
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448574
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448575
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448576
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448577
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448578
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448579
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448580
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312448581
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.9	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406078
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.9	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406079
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.9	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406080
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.9	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406081
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.9	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430072
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.9	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431973
urn:cts:greekLit:tlg0031.tlg003.wh:1.12.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312402224
