urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138052
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138053
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138054
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138055
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138056
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138057
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138058
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463718
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463719
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463720
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463721
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463722
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463723
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463724
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463725
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260611T1424101869
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260611T1424101870
