Αἴτησόν	*ai)/thso/n	αἰτέω	ai)te/w	v2sama---
συνακολουθῆσαι	sunakolouqh=sai	συνακολουθέω	sunakolouqe/w	v--ana---
συναναβᾶσαι	sunanaba=sai	συναναβαίνω	sunanabai/nw	v-papafn-
συναναβᾶσαι	sunanaba=sai	συναναβαίνω	sunanabai/nw	v-papafv-
συναναβᾶσαι	sunanaba=sai	συναναβαίνω	sunanabai/nw	v--ana---
συνανακειμένοις	sunanakeime/nois	συνανάκειμαι	sunana/keimai	v-prpemd-
συνανακειμένοις	sunanakeime/nois	συνανάκειμαι	sunana/keimai	v-prpend-
συνανακειμένοις	sunanakeime/nois	συνανάκειμαι	sunana/keimai	v-pppemd-
συνανακειμένοις	sunanakeime/nois	συνανάκειμαι	sunana/keimai	v-pppend-
συνανέκειντο	sunane/keinto	συνανάκειμαι	sunana/keimai	v3piie---
συναποθανεῖν	sunapoqanei=n	συναποθνήσκω	sunapoqnh/skw	v--ana---
συνεργοῦντος	sunergou=ntos	συνεργέω	sunerge/w	v-sppamg-
συνεργοῦντος	sunergou=ntos	συνεργέω	sunerge/w	v-sppang-
συνεργοῦντος	sunergou=ntos	συνεργέω	sunerge/w	v-sppamg-
συνεργοῦντος	sunergou=ntos	συνεργέω	sunerge/w	v-sppang-
συνεσπάραξεν	sunespa/racen	συσπαράσσω	suspara/ssw	v3saia---
συνεσταυρωμένοι	sunestaurwme/noi	συσταυρόομαι	sustauro/omai	v-prpemn-
συνεσταυρωμένοι	sunestaurwme/noi	συσταυρόομαι	sustauro/omai	v-prpemv-
συνετήρει	suneth/rei	συντηρέω	sunthre/w	v3siia---
συνηκολούθει	sunhkolou/qei	συνακολουθέω	sunakolouqe/w	v3siia---
συνθλίβοντά	sunqli/bonta/	συνθλίβω	sunqli/bw	v-pppann-
συνθλίβοντά	sunqli/bonta/	συνθλίβω	sunqli/bw	v-pppanv-
συνθλίβοντά	sunqli/bonta/	συνθλίβω	sunqli/bw	v-pppana-
συνθλίβοντά	sunqli/bonta/	συνθλίβω	sunqli/bw	v-sppama-
συνκαλοῦσιν	sunkalou=sin	συγκαλέω	sugkale/w	v-pfpamd-
συνκαλοῦσιν	sunkalou=sin	συγκαλέω	sugkale/w	v-pfpand-
συνκαλοῦσιν	sunkalou=sin	συγκαλέω	sugkale/w	v3pfia---
συνκαλοῦσιν	sunkalou=sin	συγκαλέω	sugkale/w	v-pppamd-
συνκαλοῦσιν	sunkalou=sin	συγκαλέω	sugkale/w	v-pppand-
συνκαλοῦσιν	sunkalou=sin	συγκαλέω	sugkale/w	v3ppia---
συνλαλοῦντες	sunlalou=ntes	συλλαλέω	sullale/w	v-pppamn-
συνλαλοῦντες	sunlalou=ntes	συλλαλέω	sullale/w	v-pppamv-
συνλυπούμενος	sunlupou/menos	συλλυπέω	sullupe/w	v-sppemn-
συνπνίγουσιν	sunpni/gousin	συμπνίγω	sumpni/gw	v-pppamd-
συνπνίγουσιν	sunpni/gousin	συμπνίγω	sumpni/gw	v-pppand-
συνπνίγουσιν	sunpni/gousin	συμπνίγω	sumpni/gw	v3ppia---
συνπορεύονται	sunporeu/ontai	συμπορεύομαι	sumporeu/omai	v3ppie---
συντελεῖσθαι	suntelei=sqai	συντελέω	suntele/w	v--pne---
συντελεῖσθαι	suntelei=sqai	συντελέω	suntele/w	v--fnm---
συντελεῖσθαι	suntelei=sqai	συντελέω	suntele/w	v--pne---
συντρίψασα	suntri/yasa	συντρίβω	suntri/bw	v-sapafn-
συντρίψασα	suntri/yasa	συντρίβω	suntri/bw	v-sapafv-
συντόμως	sunto/mws	σύντομος	su/ntomos	x--------
συντόμως	sunto/mws	σύντομος	su/ntomos	n-p---ma-
συντόμως	sunto/mws	σύντομος	su/ntomos	n-p---fa-
συνἄγονται	suna)/gontai	συνάγω	suna/gw	v3ppie---
συνάγεται	suna/getai	συνάγω	suna/gw	v3spie---
συνάγονται	suna/gontai	συνάγω	suna/gw	v3ppie---
συνέδραμον	sune/dramon	συντρέχω	suntre/xw	v3paia---
συνέδραμον	sune/dramon	συντρέχω	suntre/xw	v1saia---
συνέδρια	sune/dria	συνέδριον	sune/drion	n-p---nn-
συνέδρια	sune/dria	συνέδριον	sune/drion	n-p---nv-
συνέδρια	sune/dria	συνέδριον	sune/drion	n-p---na-
συνέδριον	sune/drion	συνέδριον	sune/drion	n-s---nn-
συνέδριον	sune/drion	συνέδριον	sune/drion	n-s---nv-
συνέδριον	sune/drion	συνέδριον	sune/drion	n-s---na-
συνέζευξεν	sune/zeucen	συζεύγνυμι	suzeu/gnumi	v3saia---
συνέθλιβον	sune/qlibon	συνθλίβω	sunqli/bw	v3piia---
συνέθλιβον	sune/qlibon	συνθλίβω	sunqli/bw	v1siia---
συνέπνιξαν	sune/pnican	συμπνίγω	sumpni/gw	v3paia---
συνέρχεται	sune/rxetai	συνέρχομαι	sune/rxomai	v3spie---
συνέρχονται	sune/rxontai	συνέρχομαι	sune/rxomai	v3ppie---
συνέσεως	sune/sews	σύνεσις	su/nesis	n-s---fg-
συνήχθη	sunh/xqh	συνάγω	suna/gw	v3saip---
συνήχθησαν	sunh/xqhsan	συνάγω	suna/gw	v3paip---
συνίετε	suni/ete	συνίημι	suni/hmi	v2piia---
συνίετε	suni/ete	συνίημι	suni/hmi	v2ppma---
συνίετε	suni/ete	συνίημι	suni/hmi	v2ppia---
συνίετε	suni/ete	συνίημι	suni/hmi	v2piia---
συνίετε	suni/ete	συνίημι	suni/hmi	v2ppma---
συνίωσιν	suni/wsin	σύνειμι1	su/neimi1	v3ppsa---
συνίωσιν	suni/wsin	σύνειμι2	su/neimi2	v3ppsa---
συνίωσιν	suni/wsin	συνίημι	suni/hmi	v3ppsa---
συνῆκαν	sunh=kan	συνίημι	suni/hmi	v3paia---
σφυρίδας	sfuri/das	σφυρίς	sfuri/s	n-p---fa-
σφυρίδων	sfuri/dwn	σφυρίς	sfuri/s	n-p---fg-
σφόδρα	sfo/dra	σφόδρα	sfo/dra	d--------
σχιζομένους	sxizome/nous	σχίζω	sxi/zw	v-pppema-
σχίσμα	sxi/sma	σχίσμα	sxi/sma	n-s---nn-
σχίσμα	sxi/sma	σχίσμα	sxi/sma	n-s---nv-
σχίσμα	sxi/sma	σχίσμα	sxi/sma	n-s---na-
σωθήσεται	swqh/setai	σώζω	sw/zw	v3sfip---
σωθήσομαι	swqh/somai	σώζω	sw/zw	v1sfip---
σωθῆναι	swqh=nai	σώζω	sw/zw	v--anp---
σωθῇ	swqh=|	σώζω	sw/zw	v3sasp---
σωτηρίας	swthri/as	σωτηρία	swthri/a	n-p---fa-
σωτηρίας	swthri/as	σωτηρία	swthri/a	n-s---fg-
σωφρονοῦντα	swfronou=nta	σωφρονέω	swfrone/w	v-pppann-
σωφρονοῦντα	swfronou=nta	σωφρονέω	swfrone/w	v-pppanv-
σωφρονοῦντα	swfronou=nta	σωφρονέω	swfrone/w	v-pppana-
σωφρονοῦντα	swfronou=nta	σωφρονέω	swfrone/w	v-sppama-
σάββατον	sa/bbaton	σάββατον	sa/bbaton	n-s---nn-
σάββατον	sa/bbaton	σάββατον	sa/bbaton	n-s---nv-
σάββατον	sa/bbaton	σάββατον	sa/bbaton	n-s---na-
σάρκα	sa/rka	σάρξ	sa/rc	n-s---fa-
σάρκα	sa/rka	σαρκάω	sarka/w	v2spma---
σάρκα	sa/rka	σαρκάω	sarka/w	v3siia---
σάρξ	sa/rc	σάρξ	sa/rc	n-s---fn-
σάρξ	sa/rc	σάρξ	sa/rc	n-s---fv-
σέ	se/	σός	so/s	a-s---mv-
σέ	se/	σύ	su/	p-s----a-
σέ	se/	σύ	su/	p-s----a-
σέβονταί	se/bontai/	σέβομαι	se/bomai	v3ppie---
σέσωκέν	se/swke/n	σώζω	sw/zw	v3sria---
σέσωκέν	se/swke/n	σώζω	sw/zw	v3plia---
σήμερον	sh/meron	σήμερον	sh/meron	d--------
σύ	su/	σύ	su/	p-s----n-
σύκων	su/kwn	σῦκον	su=kon	n-p---ng-
σύν	su/n	σύν	su/n	r--------
σύνετε	su/nete	συνίημι	suni/hmi	v2pama---
σύνετε	su/nete	συνίημι	suni/hmi	v2paia---
σύσσημον	su/sshmon	σύσσημον	su/sshmon	n-s---nn-
σύσσημον	su/sshmon	σύσσημον	su/sshmon	n-s---nv-
σύσσημον	su/sshmon	σύσσημον	su/sshmon	n-s---na-
σώματι	sw/mati	σῶμα	sw=ma	n-s---nd-
σώσει	sw/sei	σώζω	sw/zw	v3sasa---
σώσει	sw/sei	σώζω	sw/zw	v2sfim---
σώσει	sw/sei	σώζω	sw/zw	v3sfia---
σῖτον	si=ton	σῖτος	si=tos	n-s---ma-
σῶμα	sw=ma	σῶμα	sw=ma	n-s---nn-
σῶμα	sw=ma	σῶμα	sw=ma	n-s---nv-
σῶμα	sw=ma	σῶμα	sw=ma	n-s---na-
σῶμά	sw=ma/	σῶμα	sw=ma	n-s---nn-
σῶμά	sw=ma/	σῶμα	sw=ma	n-s---nv-
σῶμά	sw=ma/	σῶμα	sw=ma	n-s---na-
σῶσαι	sw=sai	σώζω	sw/zw	v2samm---
σῶσαι	sw=sai	σώζω	sw/zw	v--ana---
σῶσον	sw=son	σώζω	sw/zw	v2sama---
σῶσον	sw=son	σώζω	sw/zw	v-sfpamv-
σῶσον	sw=son	σώζω	sw/zw	v-sfpann-
σῶσον	sw=son	σώζω	sw/zw	v-sfpanv-
σῶσον	sw=son	σώζω	sw/zw	v-sfpana-
ταχύ	taxu/	ταχύς	taxu/s	a-s---mv-
ταχύ	taxu/	ταχύς	taxu/s	a-s---nn-
ταχύ	taxu/	ταχύς	taxu/s	a-s---nv-
ταχύ	taxu/	ταχύς	taxu/s	a-s---na-
ταύτας	tau/tas	οὗτος	ou(=tos	n-p---fa-
ταύτας	tau/tas	οὗτος	ou(=tos	n-s---fg-
ταύτην	tau/thn	οὗτος	ou(=tos	n-s---fa-
ταύτῃ	tau/th|	οὗτος	ou(=tos	n-s---fd-
ταύτῃ	tau/th|	ταύτῃ	tau/th|	d--------
ταῖς	tai=s	ὁ	o(	l-p---fd-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nn-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nv-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---na-
τεθῇ	teqh=|	τίθημι	ti/qhmi	v3sasp---
τελευτάτω	teleuta/tw	τελευτάω	teleuta/w	v3spma---
τελευτᾷ	teleuta=|	τελευτάω	teleuta/w	v2spse---
τελευτᾷ	teleuta=|	τελευτάω	teleuta/w	v2spie---
τελευτᾷ	teleuta=|	τελευτάω	teleuta/w	v3spsa---
τελευτᾷ	teleuta=|	τελευτάω	teleuta/w	v3spia---
τελευτᾷ	teleuta=|	τελευτή	teleuth/	n-s---fd-
τελωνῶν	telwnw=n	τελώνης	telw/nhs	n-p---mg-
τελωνῶν	telwnw=n	τελωνέω	telwne/w	v-sppamn-
τελώνιον	telw/nion	τελώνιον	telw/nion	n-s---nn-
τελώνιον	telw/nion	τελώνιον	telw/nion	n-s---nv-
τελώνιον	telw/nion	τελώνιον	telw/nion	n-s---na-
τελώνιον	telw/nion	τελωνέω	telwne/w	v3piia---
τελώνιον	telw/nion	τελωνέω	telwne/w	v1siia---
τελῶναι	telw=nai	τελώνης	telw/nhs	n-p---mn-
τελῶναι	telw=nai	τελώνης	telw/nhs	n-p---mv-
τεσσεράκοντα	tessera/konta	τεσσαράκοντα	tessara/konta	m--------
τεσσάρων	tessa/rwn	τέσσαρες	te/ssares	n-p---mg-
τεσσάρων	tessa/rwn	τέσσαρες	te/ssares	n-p---fg-
τεσσάρων	tessa/rwn	τέσσαρες	te/ssares	n-p---ng-
τετρακισχιλίους	tetrakisxili/ous	τετρακισχίλιοι	tetrakisxi/lioi	a-p---ma-
τετρακισχίλιοι	tetrakisxi/lioi	τετρακισχίλιοι	tetrakisxi/lioi	a-p---mn-
τετρακισχίλιοι	tetrakisxi/lioi	τετρακισχίλιοι	tetrakisxi/lioi	a-p---mv-
τετάρτην	teta/rthn	τέταρτος	te/tartos	a-s---fa-
τηλαυγῶς	thlaugw=s	τηλαυγής	thlaugh/s	x--------
τηρήσητε	thrh/shte	τηρέω	thre/w	v2pasa---
τι	ti	τις	tis	p-s---nn-
τι	ti	τις	tis	p-s---nv-
τι	ti	τις	tis	p-s---na-
τιθείς	tiqei/s	τίθημι	ti/qhmi	v-sppamn-
τιθείς	tiqei/s	τίθημι	ti/qhmi	v-sppamv-
τιθέντες	tiqe/ntes	τίθημι	ti/qhmi	v-pppamn-
τιθέντες	tiqe/ntes	τίθημι	ti/qhmi	v-pppamv-
τιμᾷ	tima=|	τιμάω	tima/w	v2spse---
τιμᾷ	tima=|	τιμάω	tima/w	v2spie---
τιμᾷ	tima=|	τιμάω	tima/w	v3spsa---
τιμᾷ	tima=|	τιμάω	tima/w	v3spia---
τιμᾷ	tima=|	τιμή	timh/	n-s---fd-
τινα	tina	τις	tis	p-s---ma-
τινα	tina	τις	tis	p-s---fa-
τινα	tina	τις	tis	p-p---nn-
τινα	tina	τις	tis	p-p---nv-
τινα	tina	τις	tis	p-p---na-
τινας	tinas	τις	tis	p-p---ma-
τινας	tinas	τις	tis	p-p---fa-
τινες	tines	τις	tis	p-p---mn-
τινες	tines	τις	tis	p-p---mv-
τινες	tines	τις	tis	p-p---fn-
τινες	tines	τις	tis	p-p---fv-
τινος	tinos	τις	tis	p-s----g-
τινάς	tina/s	τις	tis	p-p---ma-
τινάς	tina/s	τις	tis	p-p---fa-
τις	tis	τις	tis	p-s---mn-
τις	tis	τις	tis	p-s---fn-
τοιαύταις	toiau/tais	τοιοῦτος	toiou=tos	n-p---fd-
τοιαύτη	toiau/th	τοιοῦτος	toiou=tos	n-s---fn-
τοιαύτη	toiau/th	τοιοῦτος	toiou=tos	n-s---fv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦται	toiau=tai	τοιοῦτος	toiou=tos	n-p---fn-
τοιαῦται	toiau=tai	τοιοῦτος	toiou=tos	n-p---fv-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	n-p---mg-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	n-p---ng-
τολμήσας	tolmh/sas	τολμάω	tolma/w	v-sapamn-
τολμήσας	tolmh/sas	τολμάω	tolma/w	v-sapamv-
τούς	tou/s	ὁ	o(	l-p---ma-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---mg-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---ng-
τούτους	tou/tous	οὗτος	ou(=tos	n-p---ma-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---mg-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---fg-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---ng-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---md-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---nd-
τοῖς	toi=s	ὁ	o(	l-p---md-
τοῖς	toi=s	ὁ	o(	l-p---nd-
τοῦ	tou=	ὁ	o(	l-s---mg-
τοῦ	tou=	ὁ	o(	l-s---ng-
τοῦ	tou=	τίς	ti/s	n-s----g-
τοῦ	tou=	τις	tis	p-s----g-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nn-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nv-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---na-
τοῦτον	tou=ton	οὗτος	ou(=tos	n-s---ma-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---nn-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---nv-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---na-
τραπέζας	trape/zas	τράπεζα	tra/peza	n-p---fa-
τραπέζας	trape/zas	τράπεζα	tra/peza	n-s---fg-
τραπέζης	trape/zhs	τράπεζα	tra/peza	n-s---fg-
τρεῖς	trei=s	τρέω	tre/w	v2spia---
τρεῖς	trei=s	τρέω	tre/w	v2siia---
τρεῖς	trei=s	τρεῖς	trei=s	m-p---mn-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---mv-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---ma-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fn-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fv-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fa-
τριακοσίων	triakosi/wn	τριακόσιοι	triako/sioi	a-p---fg-
τριακοσίων	triakosi/wn	τριακόσιοι	triako/sioi	a-p---mg-
τριακοσίων	triakosi/wn	τριακόσιοι	triako/sioi	a-p---ng-
τρισίν	trisi/n	τρεῖς	trei=s	m-p---md-
τρισίν	trisi/n	τρεῖς	trei=s	m-p---fd-
τρισίν	trisi/n	τρεῖς	trei=s	m-p---nd-
τριάκοντα	tria/konta	τριάκοντα	tria/konta	m--------
τριῶν	triw=n	τρεῖς	trei=s	m-p---mg-
τριῶν	triw=n	τρεῖς	trei=s	m-p---fg-
τριῶν	triw=n	τρεῖς	trei=s	m-p---ng-
τριῶν	triw=n	τρίζω	tri/zw	v-sfpamn-
τριῶν	triw=n	τριάξω	tria/cw	v-sfpamv-
τριῶν	triw=n	τριάξω	tria/cw	v-sfpann-
τριῶν	triw=n	τριάξω	tria/cw	v-sfpanv-
τριῶν	triw=n	τριάξω	tria/cw	v-sfpana-
τριῶν	triw=n	τριάξω	tria/cw	v-sfpamn-
τριῶν	triw=n	τριάζω	tria/zw	v-sfpamv-
τριῶν	triw=n	τριάζω	tria/zw	v-sfpann-
τριῶν	triw=n	τριάζω	tria/zw	v-sfpanv-
τριῶν	triw=n	τριάζω	tria/zw	v-sfpana-
τριῶν	triw=n	τριάζω	tria/zw	v-sfpamn-
τρυμαλιᾶς	trumalia=s	τρυμαλιά	trumalia/	n-s---fg-
τράχηλον	tra/xhlon	τράχηλος	tra/xhlos	n-s---ma-
τρέμουσα	tre/mousa	τρέμω	tre/mw	v-sppafn-
τρέμουσα	tre/mousa	τρέμω	tre/mw	v-sppafv-
τρίβους	tri/bous	τρίβος	tri/bos	n-p---ma-
τρίβους	tri/bous	τρίβος	tri/bos	n-p---fa-
τρίζει	tri/zei	τρίζω	tri/zw	v2spie---
τρίζει	tri/zei	τρίζω	tri/zw	v3spia---
τρίς	tri/s	τρίς	tri/s	d--------
τρίτη	tri/th	τρίτος	tri/tos	a-s---fn-
τρίτη	tri/th	τρίτος	tri/tos	a-s---fv-
τρίτη	tri/th	τριτάω	trita/w	v2spma---
τρίτη	tri/th	τριτάω	trita/w	v2spma---
τρίτη	tri/th	τριτάω	trita/w	v3siia---
τρίτον	tri/ton	τρίτος	tri/tos	a-s---ma-
τρίτον	tri/ton	τρίτος	tri/tos	a-s---nn-
τρίτον	tri/ton	τρίτος	tri/tos	a-s---nv-
τρίτον	tri/ton	τρίτος	tri/tos	a-s---na-
τρίτος	tri/tos	τρίτος	tri/tos	a-s---mn-
τρίχας	tri/xas	θρίξ	qri/c	n-p---fa-
τρόμος	tro/mos	τρόμος	tro/mos	n-s---mn-
τρύβλιον	tru/blion	τρύβλιον	tru/blion	n-s---nn-
τρύβλιον	tru/blion	τρύβλιον	tru/blion	n-s---nv-
τρύβλιον	tru/blion	τρύβλιον	tru/blion	n-s---na-
τυφλοῦ	tuflou=	τυφλός	tuflo/s	a-s---mg-
τυφλοῦ	tuflou=	τυφλός	tuflo/s	a-s---ng-
τυφλοῦ	tuflou=	τυφλόω	tuflo/w	v2spme---
τυφλοῦ	tuflou=	τυφλόω	tuflo/w	v2siie---
τυφλόν	tuflo/n	τυφλός	tuflo/s	a-s---ma-
τυφλόν	tuflo/n	τυφλός	tuflo/s	a-s---nn-
τυφλόν	tuflo/n	τυφλός	tuflo/s	a-s---nv-
τυφλόν	tuflo/n	τυφλός	tuflo/s	a-s---na-
τυφλός	tuflo/s	τυφλός	tuflo/s	a-s---mn-
τά	ta/	ὁ	o(	l-p---na-
τά	ta/	ὁ	o(	l-p---nn-
τά	ta/	ὁ	o(	l-p---nv-
τά	ta/	ὁ	o(	l-p---na-
τά	ta/	ὁ	o(	l-d---fa-
τά	ta/	ὁ	o(	l-d---fn-
τά	ta/	ὁ	o(	l-d---fv-
τά	ta/	ὁ	o(	l-d---fa-
τά	ta/	τίς	ti/s	n-p---nn-
τά	ta/	τίς	ti/s	n-p---nv-
τά	ta/	τίς	ti/s	n-p---na-
τάς	ta/s	ὁ	o(	l-p---fa-
τέθειται	te/qeitai	τίθημι	ti/qhmi	v3srie---
τέθνηκεν	te/qnhken	θνήσκω	qnh/skw	v3sria---
τέθνηκεν	te/qnhken	θνήσκω	qnh/skw	v3plia---
τέκνα	te/kna	τέκνον	te/knon	n-p---nn-
τέκνα	te/kna	τέκνον	te/knon	n-p---nv-
τέκνα	te/kna	τέκνον	te/knon	n-p---na-
τέκνον	te/knon	τέκνον	te/knon	n-s---nn-
τέκνον	te/knon	τέκνον	te/knon	n-s---nv-
τέκνον	te/knon	τέκνον	te/knon	n-s---na-
τέκνων	te/knwn	τέκνον	te/knon	n-p---ng-
τέκνων	te/knwn	τεκνόω	tekno/w	v3piia---
τέκνων	te/knwn	τεκνόω	tekno/w	v1siia---
τέκτων	te/ktwn	τέκτων	te/ktwn	n-s---mn-
τέκτων	te/ktwn	τέκτων	te/ktwn	n-s---mv-
τέλος	te/los	τέλος	te/los	n-s---nn-
τέλος	te/los	τέλος	te/los	n-s---nv-
τέλος	te/los	τέλος	te/los	n-s---na-
τέρατα	te/rata	τέρας	te/ras	n-p---nn-
τέρατα	te/rata	τέρας	te/ras	n-p---nv-
τέρατα	te/rata	τέρας	te/ras	n-p---na-
τήν	th/n	ὁ	o(	l-s---fa-
τί	ti/	τίς	ti/s	n-s---nn-
τί	ti/	τίς	ti/s	n-s---nv-
τί	ti/	τίς	ti/s	n-s---na-
τί	ti/	τις	tis	p-s---nn-
τί	ti/	τις	tis	p-s---nv-
τί	ti/	τις	tis	p-s---na-
τίλλοντες	ti/llontes	τίλλω	ti/llw	v-pppamn-
τίλλοντες	ti/llontes	τίλλω	ti/llw	v-pppamv-
τίνα	ti/na	τίς	ti/s	n-s---ma-
τίνα	ti/na	τίς	ti/s	n-s---fa-
τίνα	ti/na	τίς	ti/s	n-p---nn-
τίνα	ti/na	τίς	ti/s	n-p---nv-
τίνα	ti/na	τίς	ti/s	n-p---na-
τίνα	ti/na	τις	tis	p-s---ma-
τίνα	ti/na	τις	tis	p-s---fa-
τίνα	ti/na	τις	tis	p-p---nn-
τίνα	ti/na	τις	tis	p-p---nv-
τίνα	ti/na	τις	tis	p-p---na-
τίνι	ti/ni	τίς	ti/s	n-s----d-
τίνι	ti/ni	τις	tis	p-s----d-
τίνος	ti/nos	τίς	ti/s	n-s----g-
τίνος	ti/nos	τις	tis	p-s----g-
τίς	ti/s	τίς	ti/s	n-s---mn-
τίς	ti/s	τίς	ti/s	n-s---fn-
τίς	ti/s	τις	tis	p-s---mn-
τίς	ti/s	τις	tis	p-s---fn-
τό	to/	ὁ	o(	l-s---nn-
τό	to/	ὁ	o(	l-s---nv-
τό	to/	ὁ	o(	l-s---na-
τόν	to/n	ὁ	o(	l-s---ma-
τόποις	to/pois	τόπος	to/pos	n-p---md-
τόπον	to/pon	τόπος	to/pos	n-s---ma-
τόπος	to/pos	τόπος	to/pos	n-s---mn-
τόπους	to/pous	τόπος	to/pos	n-p---ma-
τότε	to/te	τότε	to/te	d--------
τῆς	th=s	ὁ	o(	l-s---fg-
τῇ	th=|	ὁ	o(	l-s---fd-
τῇ	th=|	τῇ	th=|	d--------
τῶ	tw=	ὁ	o(	l-s---mg-
τῶ	tw=	ὁ	o(	l-s---ng-
τῶ	tw=	τῷ	tw=|	d--------
τῶν	tw=n	ὁ	o(	l-p---fg-
τῶν	tw=n	ὁ	o(	l-p---mg-
τῶν	tw=n	ὁ	o(	l-p---ng-
τῷ	tw=|	ὁ	o(	l-s---md-
τῷ	tw=|	ὁ	o(	l-s---nd-
τῷ	tw=|	τίς	ti/s	n-s----d-
τῷ	tw=|	τις	tis	p-s----d-
τῷ	tw=|	τῷ	tw=|	d--------
υἱοί	ui(oi/	υἱός	ui(o/s	n-p---mn-
υἱοί	ui(oi/	υἱός	ui(o/s	n-p---mv-
υἱοί	ui(oi/	υἱόω	ui(o/w	v2spse---
υἱοί	ui(oi/	υἱόω	ui(o/w	v2spie---
υἱοί	ui(oi/	υἱόω	ui(o/w	v3spsa---
υἱοῖς	ui(oi=s	υἱός	ui(o/s	n-p---md-
υἱοῖς	ui(oi=s	υἱόω	ui(o/w	v2spoa---
υἱοῖς	ui(oi=s	υἱόω	ui(o/w	v2spsa---
υἱοῖς	ui(oi=s	υἱόω	ui(o/w	v2spia---
υἱέ	ui(e/	υἱός	ui(o/s	n-s---mv-
υἱόν	ui(o/n	υἱός	ui(o/s	n-s---ma-
υἱός	ui(o/s	υἱός	ui(o/s	n-s---mn-
φαγεῖν	fagei=n	ἐσθίω	e)sqi/w	v--ana---
φαγόντες	fago/ntes	ἐσθίω	e)sqi/w	v-papamn-
φαγόντες	fago/ntes	ἐσθίω	e)sqi/w	v-papamv-
φανερωθῇ	fanerwqh=|	φανερόω	fanero/w	v3sasp---
φανερόν	fanero/n	φανερός	fanero/s	a-s---ma-
φανερόν	fanero/n	φανερός	fanero/s	a-s---nn-
φανερόν	fanero/n	φανερός	fanero/s	a-s---nv-
φανερόν	fanero/n	φανερός	fanero/s	a-s---na-
φανερόν	fanero/n	φανερός	fanero/s	n-s---ma-
φανερόν	fanero/n	φανερός	fanero/s	n-s---fa-
φανερόν	fanero/n	φανερός	fanero/s	n-s---nn-
φανερόν	fanero/n	φανερός	fanero/s	n-s---nv-
φανερόν	fanero/n	φανερός	fanero/s	n-s---na-
φανερῶς	fanerw=s	φανερός	fanero/s	x--------
φανερῶς	fanerw=s	φανερός	fanero/s	x--------
φανερῶς	fanerw=s	φανερόω	fanero/w	v2spia---
φαίνεται	fai/netai	φαίνω	fai/nw	v3spie---
φευγέτωσαν	feuge/twsan	φεύγω	feu/gw	v3ppma---
φθόνον	fqo/non	φθόνος	fqo/nos	n-s---ma-
φιλήσω	filh/sw	φιλέω	file/w	v1sasa---
φιλήσω	filh/sw	φιλέω	file/w	v1sfia---
φιλήσω	filh/sw	φιλέω	file/w	v2saim---
φοβεῖσθε	fobei=sqe	φοβέω	fobe/w	v2ppme---
φοβεῖσθε	fobei=sqe	φοβέω	fobe/w	v2ppoe---
φοβεῖσθε	fobei=sqe	φοβέω	fobe/w	v2ppie---
φοβεῖσθε	fobei=sqe	φοβέω	fobe/w	v2piie---
φοβηθεῖσα	fobhqei=sa	φοβέω	fobe/w	v-sappfn-
φοβηθεῖσα	fobhqei=sa	φοβέω	fobe/w	v-sappfv-
φοβοῦ	fobou=	φοβέω	fobe/w	v2spme---
φοβοῦ	fobou=	φοβέω	fobe/w	v2siie---
φονεύσῃς	foneu/sh|s	φονάω	fona/w	v-pppafd-
φονεύσῃς	foneu/sh|s	φονεύω	foneu/w	v2sasa---
φονεύσῃς	foneu/sh|s	φονόω	fono/w	v-pppafd-
φραγελλώσας	fragellw/sas	φραγελλόω	fragello/w	v-sapamn-
φραγελλώσας	fragellw/sas	φραγελλόω	fragello/w	v-sapamv-
φραγμόν	fragmo/n	φραγμός	fragmo/s	n-s---ma-
φρονεῖς	fronei=s	φρονέω	frone/w	v2spia---
φυλακήν	fulakh/n	φυλακή	fulakh/	n-s---fa-
φυλακῇ	fulakh=|	φυλακεύς	fulakeu/s	n-s---md-
