urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260610T1322133884
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260610T1322133885
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260610T1322133886
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010269
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010270
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010271
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010272
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010273
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010274
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312408830
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T0312408392
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T0312408393
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T0312408394
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430929
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010111
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110883
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260611T1424105566
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260611T1424105567
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401357
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430014
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430254
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431461
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312404445
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430725
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431056
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346146
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346147
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346148
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346149
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346150
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346151
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346152
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346153
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346154
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346155
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260612T0409346156
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302550358
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1002.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302550359
