Εὐριπίδη	*eu)ripi/dh	Εὐριπίδης	*eu)ripi/dhs	urn:cite2:hmt:lsj.chicago_md:n44956	n-s---mv-
Εὐριπίδη	*eu)ripi/dh	εὐριπίδης	eu)ripi/dhs	urn:cite2:hmt:lsj.chicago_md:n44956	n-s---mv-
Εὐριπίδην	*eu)ripi/dhn	Εὐριπίδης	*eu)ripi/dhs	urn:cite2:hmt:lsj.chicago_md:n44956	n-s---ma-
Εὐριπίδην	*eu)ripi/dhn	εὐριπίδης	eu)ripi/dhs	urn:cite2:hmt:lsj.chicago_md:n44956	n-s---ma-
Εὐριπίδης	*eu)ripi/dhs	Εὐριπίδης	*eu)ripi/dhs	urn:cite2:hmt:lsj.chicago_md:n44956	n-s---mn-
Εὐριπίδης	*eu)ripi/dhs	εὐριπίδης	eu)ripi/dhs	urn:cite2:hmt:lsj.chicago_md:n44956	n-s---mn-
Εὐριπίδιον	*eu)ripi/dion	Εὐριπίδιον	*eu)ripi/dion	urn:cite2:hmt:lsj.chicago_md:n44958	n-s---nn-
Εὐριπίδιον	*eu)ripi/dion	Εὐριπίδιον	*eu)ripi/dion	urn:cite2:hmt:lsj.chicago_md:n44958	n-s---nv-
Εὐριπίδιον	*eu)ripi/dion	Εὐριπίδιον	*eu)ripi/dion	urn:cite2:hmt:lsj.chicago_md:n44958	n-s---na-
Εὐριπίδιον	*eu)ripi/dion	εὐριπίδιον	eu)ripi/dion	urn:cite2:hmt:lsj.chicago_md:n44958	n-s---nn-
Εὐριπίδιον	*eu)ripi/dion	εὐριπίδιον	eu)ripi/dion	urn:cite2:hmt:lsj.chicago_md:n44958	n-s---nv-
Εὐριπίδιον	*eu)ripi/dion	εὐριπίδιον	eu)ripi/dion	urn:cite2:hmt:lsj.chicago_md:n44958	n-s---na-
Εὐάθλους	*eu)a/qlous	εὔαθλος	eu)/aqlos	urn:cite2:hmt:lsj.chicago_md:n43346	n-p---ma-
Εὐάθλους	*eu)a/qlous	εὔαθλος	eu)/aqlos	urn:cite2:hmt:lsj.chicago_md:n43346	n-p---fa-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Θασίαν	*qasi/an	Θάσιος	*qa/sios	urn:cite2:hmt:lsj.chicago_md:n47910	a-s---fa-
Θείβαθεν	*qei/baqen	Θείβαθεν	*qei/baqen	urn:cite2:hmt:lsj.chicago_md:n48027	d--------
Θρᾳκῶν	*qra|kw=n	Θρᾷξ	*qra=|c	urn:cite2:hmt:lsj.chicago_md:n49017	n-p---mg-
Θρᾳξί	*qra|ci/	Θρᾷξ	*qra=|c	urn:cite2:hmt:lsj.chicago_md:n49017	n-p---md-
Θρᾷκας	*qra=|kas	Θρᾷξ	*qra=|c	urn:cite2:hmt:lsj.chicago_md:n49017	n-p---ma-
Θρᾷκες	*qra=|kes	Θρᾷξ	*qra=|c	urn:cite2:hmt:lsj.chicago_md:n49017	n-p---mn-
Θρᾷκες	*qra=|kes	Θρᾷξ	*qra=|c	urn:cite2:hmt:lsj.chicago_md:n49017	n-p---mv-
Θυεστείων	*questei/wn	Θυέστειος	*que/steios	urn:cite2:hmt:lsj.chicago_md:n49288	a-p---fg-
Θυεστείων	*questei/wn	Θυέστειος	*que/steios	urn:cite2:hmt:lsj.chicago_md:n49288	a-p---mg-
Θυεστείων	*questei/wn	Θυέστειος	*que/steios	urn:cite2:hmt:lsj.chicago_md:n49288	a-p---ng-
Θέωρος	*qe/wros	Θέωρος	*qe/wros	urn:cite2:hmt:lsj.chicago_md:n48598	n-s---mn-
Καταγέλᾳ	*katage/la|	Καταγέλα	*katage/la	urn:cite2:hmt:lsj.chicago_md:n53764	n-p---fn-
Καταγέλᾳ	*katage/la|	Καταγέλα	*katage/la	urn:cite2:hmt:lsj.chicago_md:n53764	n-p---fv-
Καταγέλᾳ	*katage/la|	Καταγέλα	*katage/la	urn:cite2:hmt:lsj.chicago_md:n53764	n-s---fd-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	urn:cite2:hmt:lsj.chicago_md:n56260	a-p---fg-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	urn:cite2:hmt:lsj.chicago_md:n56260	a-p---fg-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	urn:cite2:hmt:lsj.chicago_md:n56260	a-p---mg-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	urn:cite2:hmt:lsj.chicago_md:n56260	a-p---mg-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	urn:cite2:hmt:lsj.chicago_md:n56260	a-p---ng-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	urn:cite2:hmt:lsj.chicago_md:n56260	a-p---ng-
Κελεέ	*kelee/	Κελεός	*keleo/s	urn:cite2:hmt:lsj.chicago_md:n56472	n-s---mv-
Κελεέ	*kelee/	κελεός	keleo/s	urn:cite2:hmt:lsj.chicago_md:n56472	n-s---mv-
Κελεός	*keleo/s	Κελεός	*keleo/s	urn:cite2:hmt:lsj.chicago_md:n56472	n-s---mn-
Κελεός	*keleo/s	κελεός	keleo/s	urn:cite2:hmt:lsj.chicago_md:n56472	n-s---mn-
Κλέων	*kle/wn	κλέω	kle/w	urn:cite2:hmt:lsj.chicago_md:n57835	v-sppamn-
Κλέων	*kle/wn	κλέω	kle/w	urn:cite2:hmt:lsj.chicago_md:n57836	v-sppamn-
Κραναά	*kranaa/	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-p---nn-
Κραναά	*kranaa/	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-p---nv-
Κραναά	*kranaa/	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-p---na-
Κραναά	*kranaa/	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-d---fn-
Κραναά	*kranaa/	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-d---fv-
Κραναά	*kranaa/	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-d---fa-
Κραναά	*kranaa/	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-s---fn-
Κραναά	*kranaa/	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-s---fv-
Κτησίας	*kthsi/as	κτήσιος	kth/sios	urn:cite2:hmt:lsj.chicago_md:n60366	a-p---fa-
Κτησίας	*kthsi/as	κτήσιος	kth/sios	urn:cite2:hmt:lsj.chicago_md:n60366	a-s---fg-
Κωπαΐδας	*kwpai+/das	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-p---fa-
Κωπαΐδας	*kwpai+/das	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-p---fa-
Κωπᾴδων	*kwpa/|dwn	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-p---fg-
Κωπᾴδων	*kwpa/|dwn	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-p---fg-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-s---fa-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-s---fa-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-s---fd-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-s---fd-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-d---fn-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-d---fn-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-d---fv-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-d---fv-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-d---fa-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	urn:cite2:hmt:lsj.chicago_md:n61361	n-d---fa-
Κύπριδι	*ku/pridi	Κύπρις	*ku/pris	urn:cite2:hmt:lsj.chicago_md:n61013	n-s---fd-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	urn:cite2:hmt:lsj.chicago_md:n61708	n-s---fg-
Λαμαχίππιον	*lamaxi/ppion	Λαμαχίππιον	*lamaxi/ppion	urn:cite2:hmt:lsj.chicago_md:n61789	n-s---nn-
Λαμαχίππιον	*lamaxi/ppion	Λαμαχίππιον	*lamaxi/ppion	urn:cite2:hmt:lsj.chicago_md:n61789	n-s---nv-
Λαμαχίππιον	*lamaxi/ppion	Λαμαχίππιον	*lamaxi/ppion	urn:cite2:hmt:lsj.chicago_md:n61789	n-s---na-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---mg-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---fg-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---ng-
Λαμάχων	*lama/xwn	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---mg-
Λαμάχων	*lama/xwn	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---fg-
Λαμάχων	*lama/xwn	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---ng-
