Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
πολύχρυσα	polu/xrusa	πολύχρυσος	polu/xrusos	n-p---nn-
πολύχρυσα	polu/xrusa	πολύχρυσος	polu/xrusos	n-p---nv-
πολύχρυσα	polu/xrusa	πολύχρυσος	polu/xrusos	n-p---na-
πομπαί	pompai/	πομπή	pomph/	n-p---fn-
πομπαί	pompai/	πομπή	pomph/	n-p---fv-
ποντίαν	ponti/an	πόντιος	po/ntios	a-s---fa-
ποντίας	ponti/as	πόντιος	po/ntios	a-p---fa-
ποντίας	ponti/as	πόντιος	po/ntios	a-s---fg-
ποντίῳ	ponti/w|	Πόντιος	*po/ntios	n-s---md-
ποντίῳ	ponti/w|	πόντιος	po/ntios	a-s---md-
ποντίῳ	ponti/w|	πόντιος	po/ntios	a-s---nd-
ποντίῳ	ponti/w|	πόντιος	po/ntios	n-s---md-
ποντίῳ	ponti/w|	πόντιος	po/ntios	n-s---fd-
ποντίῳ	ponti/w|	πόντιος	po/ntios	n-s---nd-
πορθμεύειν	porqmeu/ein	πορθμεύω	porqmeu/w	v--pna---
πορθμεύεις	porqmeu/eis	πορθμεύω	porqmeu/w	v2spia---
πορθμεύετε	porqmeu/ete	πορθμεύω	porqmeu/w	v2ppma---
πορθμεύετε	porqmeu/ete	πορθμεύω	porqmeu/w	v2ppia---
πορθμεύετε	porqmeu/ete	πορθμεύω	porqmeu/w	v2piia---
πορθμεύσειν	porqmeu/sein	πορθμεύω	porqmeu/w	v--fna---
πορθμεύων	porqmeu/wn	πορθμεύω	porqmeu/w	v-sppamn-
πορθμίς	porqmi/s	πορθμίς	porqmi/s	n-s---fn-
πορθούμεν’	porqou/men'	πορθέω	porqe/w	v-pppenn-
πορθούμεν’	porqou/men'	πορθέω	porqe/w	v-pppenv-
πορθούμεν’	porqou/men'	πορθέω	porqe/w	v-pppena-
πορθούμεν’	porqou/men'	πορθέω	porqe/w	v-sppemv-
πορθούμεν’	porqou/men'	πορθέω	porqe/w	v-pppefn-
πορθούμεν’	porqou/men'	πορθέω	porqe/w	v-pppefv-
πορφυρευτικαί	porfureutikai/	πορφυρευτικός	porfureutiko/s	a-p---fn-
πορφυρευτικαί	porfureutikai/	πορφυρευτικός	porfureutiko/s	a-p---fv-
ποσί	posi/	πούς	pou/s	n-p---md-
ποσίν	posi/n	πούς	pou/s	n-p---md-
ποτε	pote	ποτέ	pote/	g--------
ποτέ	pote/	ποτέ	pote/	g--------
ποτέ	pote/	ποτός	poto/s	a-s---mv-
που	pou	πού	pou/	d--------
