Αἰγέως	*ai)ge/ws	Αἰγίς	*ai)gi/s	urn:cite2:hmt:lsj.chicago_md:n2177	n-s---fg-
διειδέναι	dieide/nai	διαείδω1	diaei/dw	urn:cite2:hmt:lsj.chicago_md:n24745	v--rna---
διεργάσῃ	dierga/sh|	διεργάζομαι	dierga/zomai	urn:cite2:hmt:lsj.chicago_md:n26643	v2sase---
διεργάσῃ	dierga/sh|	διεργάζομαι	dierga/zomai	urn:cite2:hmt:lsj.chicago_md:n26643	v2sfie---
διεργάσῃ	dierga/sh|	διεργάζομαι	dierga/zomai	urn:cite2:hmt:lsj.chicago_md:n26643	v2sase---
διεργάσῃ	dierga/sh|	διεργάζομαι	dierga/zomai	urn:cite2:hmt:lsj.chicago_md:n26643	v2sfie---
δικαιοῦν	dikaiou=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppamv-
δικαιοῦν	dikaiou=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppann-
δικαιοῦν	dikaiou=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppanv-
δικαιοῦν	dikaiou=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppana-
δικαιοῦν	dikaiou=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v--pna---
δικαιῶν	dikaiw=n	δικαία	dikai/a	urn:cite2:hmt:lsj.chicago_md:n26858	n-p---fg-
δικαιῶν	dikaiw=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppamv-
δικαιῶν	dikaiw=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppann-
δικαιῶν	dikaiw=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppanv-
δικαιῶν	dikaiw=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppana-
δικαιῶν	dikaiw=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v-sppamn-
δικαιῶν	dikaiw=n	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v--pna---
δικαίαν	dikai/an	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	a-s---fa-
δικαίαν	dikai/an	δικαία	dikai/a	urn:cite2:hmt:lsj.chicago_md:n26858	n-s---fa-
δικαίοις	dikai/ois	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	a-p---md-
δικαίοις	dikai/ois	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	a-p---nd-
δικαίοις	dikai/ois	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-p---md-
δικαίοις	dikai/ois	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-p---fd-
δικαίοις	dikai/ois	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-p---nd-
δικαίου	dikai/ou	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	a-s---mg-
δικαίου	dikai/ou	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	a-s---ng-
δικαίου	dikai/ou	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-s---mg-
δικαίου	dikai/ou	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-s---fg-
δικαίου	dikai/ou	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-s---ng-
δικαίου	dikai/ou	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v2spma---
δικαίου	dikai/ou	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v3siia---
δικαίως	dikai/ws	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	x--------
δικαίως	dikai/ws	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	a-p---ma-
δικαίως	dikai/ws	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	x--------
δικαίως	dikai/ws	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-p---ma-
δικαίως	dikai/ws	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-p---fa-
δικαίως	dikai/ws	δικαιόω	dikaio/w	urn:cite2:hmt:lsj.chicago_md:n26891	v2siia---
δικαίῳ	dikai/w|	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	a-s---md-
δικαίῳ	dikai/w|	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	a-s---nd-
δικαίῳ	dikai/w|	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-s---md-
δικαίῳ	dikai/w|	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-s---fd-
δικαίῳ	dikai/w|	δίκαιος	di/kaios	urn:cite2:hmt:lsj.chicago_md:n26886	n-s---nd-
διοίχεται	dioi/xetai	διοίχομαι	dioi/xomai	urn:cite2:hmt:lsj.chicago_md:n27170	v3spie---
διπλᾶς	dipla=s	διπλάζω	dipla/zw	urn:cite2:hmt:lsj.chicago_md:n27351	v2sfia---
διπλᾶς	dipla=s	διπλόος	diplo/os	urn:cite2:hmt:lsj.chicago_md:n27393	a-p---fa-
διπλᾶς	dipla=s	διπλός	diplo/s	urn:cite2:hmt:lsj.chicago_md:n27395	a-s---fg-
δισσά	dissa/	δισσός	disso/s	urn:cite2:hmt:lsj.chicago_md:n27489	a-p---nn-
δισσά	dissa/	δισσός	disso/s	urn:cite2:hmt:lsj.chicago_md:n27489	a-p---nv-
δισσά	dissa/	δισσός	disso/s	urn:cite2:hmt:lsj.chicago_md:n27489	a-p---na-
δισσά	dissa/	δισσός	disso/s	urn:cite2:hmt:lsj.chicago_md:n27489	a-d---fn-
δισσά	dissa/	δισσός	disso/s	urn:cite2:hmt:lsj.chicago_md:n27489	a-d---fv-
δισσά	dissa/	δισσός	disso/s	urn:cite2:hmt:lsj.chicago_md:n27489	a-d---fa-
δισσά	dissa/	δισσός	disso/s	urn:cite2:hmt:lsj.chicago_md:n27489	a-s---fn-
δισσά	dissa/	δισσός	disso/s	urn:cite2:hmt:lsj.chicago_md:n27489	a-s---fv-
διστόλους	disto/lous	δίστολος	di/stolos	urn:cite2:hmt:lsj.chicago_md:n27508	n-p---ma-
διστόλους	disto/lous	δίστολος	di/stolos	urn:cite2:hmt:lsj.chicago_md:n27508	n-p---fa-
διά	dia/	διά	dia/	urn:cite2:hmt:lsj.chicago_md:n24517	r--------
διήκει	dih/kei	διήκω	dih/kw	urn:cite2:hmt:lsj.chicago_md:n26773	v2spie---
διήκει	dih/kei	διήκω	dih/kw	urn:cite2:hmt:lsj.chicago_md:n26773	v3spia---
διόβολος	dio/bolos	Διόβολος	*dio/bolos	urn:cite2:hmt:lsj.chicago_md:n27116	n-s---mn-
διόβολος	dio/bolos	Διόβολος	*dio/bolos	urn:cite2:hmt:lsj.chicago_md:n27116	n-s---fn-
διῆκας	dih=kas	διίημι	dii/hmi	urn:cite2:hmt:lsj.chicago_md:n26824	v2saia---
δοκεῖ	dokei=	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2spie---
δοκεῖ	dokei=	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v3spia---
δοκεῖ	dokei=	δοκεύς	dokeu/s	urn:cite2:hmt:lsj.chicago_md:n27845	n-s---md-
δοκεῖς	dokei=s	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2spia---
δοκεῖς	dokei=s	δοκεύς	dokeu/s	urn:cite2:hmt:lsj.chicago_md:n27845	n-p---ma-
δοκεῖς	dokei=s	δοκεύς	dokeu/s	urn:cite2:hmt:lsj.chicago_md:n27845	n-p---mn-
δοκεῖς	dokei=s	δοκεύς	dokeu/s	urn:cite2:hmt:lsj.chicago_md:n27845	n-p---mv-
δοκεῖτε	dokei=te	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2ppma---
δοκεῖτε	dokei=te	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2ppoa---
δοκεῖτε	dokei=te	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2ppia---
δοκεῖτε	dokei=te	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v2piia---
δοκῶ	dokw=	δοκάζω	doka/zw	urn:cite2:hmt:lsj.chicago_md:n27842	v1sfia---
δοκῶ	dokw=	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v1spsa---
δοκῶ	dokw=	δοκέω	doke/w	urn:cite2:hmt:lsj.chicago_md:n27847	v1spia---
δοκῶ	dokw=	δοκός	doko/s	urn:cite2:hmt:lsj.chicago_md:n27878	n-s---mg-
δοκῶ	dokw=	δοκός	doko/s	urn:cite2:hmt:lsj.chicago_md:n27878	n-s---fg-
δοκῶ	dokw=	δοκόω	doko/w	urn:cite2:hmt:lsj.chicago_md:n27881	v1spsa---
δοκῶ	dokw=	δοκόω	doko/w	urn:cite2:hmt:lsj.chicago_md:n27881	v1spia---
δοκῶ	dokw=	δοκώ	dokw/	urn:cite2:hmt:lsj.chicago_md:n27882	n-d---fn-
δοκῶ	dokw=	δοκώ	dokw/	urn:cite2:hmt:lsj.chicago_md:n27882	n-d---fv-
δοκῶ	dokw=	δοκώ	dokw/	urn:cite2:hmt:lsj.chicago_md:n27882	n-d---fa-
δοκῶ	dokw=	δοκώ	dokw/	urn:cite2:hmt:lsj.chicago_md:n27882	n-s---fa-
δορυσσοῦς	dorussou=s	δορυσσόος	dorusso/os	urn:cite2:hmt:lsj.chicago_md:n28121	a-p---ma-
δορυσσοῦς	dorussou=s	δορυσσόος	dorusso/os	urn:cite2:hmt:lsj.chicago_md:n28121	a-s---mn-
δορός	doro/s	δόρυ	do/ru	urn:cite2:hmt:lsj.chicago_md:n28101	n-s---ng-
δορός	doro/s	δορός	doro/s	urn:cite2:hmt:lsj.chicago_md:n28090	n-s---mn-
δορύξενος	doru/cenos	δορύξενος	doru/cenos	urn:cite2:hmt:lsj.chicago_md:n28115	n-s---mn-
δορύξενος	doru/cenos	δορύξενος	doru/cenos	urn:cite2:hmt:lsj.chicago_md:n28115	n-s---fn-
δοίη	doi/h	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v3saoa---
δοίη	doi/h	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v3saoa---
δούλην	dou/lhn	δοῦλος	dou=los	urn:cite2:hmt:lsj.chicago_md:n28188	n-s---fa-
δούλην	dou/lhn	δοῦλος	dou=los	urn:cite2:hmt:lsj.chicago_md:n28189	n-s---fa-
δούλην	dou/lhn	δοῦλος	dou=los	urn:cite2:hmt:lsj.chicago_md:n28188	a-s---fa-
δούλην	dou/lhn	δοῦλος	dou=los	urn:cite2:hmt:lsj.chicago_md:n28189	a-s---fa-
δούς	dou/s	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v-sapamn-
δούς	dou/s	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v-sapamv-
δούς	dou/s	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v-sapamn-
δούς	dou/s	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v-sapamv-
δοῦναί	dou=nai/	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v--ana---
δρωμένοις	drwme/nois	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-pppemd-
δρωμένοις	drwme/nois	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-pppemd-
δρωμένοις	drwme/nois	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-pppend-
δρωμένοις	drwme/nois	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-pppend-
δράσαντι	dra/santi	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sapamd-
δράσαντι	dra/santi	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sapamd-
δράσαντι	dra/santi	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sapand-
δράσαντι	dra/santi	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sapand-
δράσειν	dra/sein	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v--fna---
δράσειν	dra/sein	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v--fna---
δράσετ’	dra/set'	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2pasa---
δράσετ’	dra/set'	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2pasa---
δράσετ’	dra/set'	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2pfia---
δράσετ’	dra/set'	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2pfia---
δράσετ’	dra/set'	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v3sasm---
δράσετ’	dra/set'	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v3sasm---
δράσετ’	dra/set'	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v3sfim---
δράσετ’	dra/set'	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v3sfim---
δράσω	dra/sw	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v1sasa---
δράσω	dra/sw	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v1sasa---
δράσω	dra/sw	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v1sfia---
δράσω	dra/sw	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v1sfia---
δράσω	dra/sw	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2saim---
δράσω	dra/sw	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2saim---
δράσῃ	dra/sh|	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2sasm---
δράσῃ	dra/sh|	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2sasm---
δράσῃ	dra/sh|	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v3sasa---
δράσῃ	dra/sh|	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v3sasa---
δράσῃ	dra/sh|	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2sfim---
δράσῃ	dra/sh|	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2sfim---
δράσῃ	dra/sh|	δρᾶσις	dra=sis	urn:cite2:hmt:lsj.chicago_md:n28334	n-s---fd-
δρώμενα	drw/mena	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-pppenn-
δρώμενα	drw/mena	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-pppenn-
δρώμενα	drw/mena	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-pppenv-
δρώμενα	drw/mena	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-pppenv-
δρώμενα	drw/mena	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-pppena-
δρώμενα	drw/mena	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-pppena-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppamv-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppamv-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppann-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppann-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppanv-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppanv-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppana-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppana-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppamn-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppamn-
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v--pna---
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v--pna---
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v--pna---
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v--pna---
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v3piia---
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v3piia---
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v1siia---
δρᾶν	dra=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v1siia---
δρᾷς	dra=|s	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2spsa---
δρᾷς	dra=|s	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2spsa---
δρᾷς	dra=|s	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2spia---
δρᾷς	dra=|s	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2spia---
δρῶ	drw=	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2spme---
δρῶ	drw=	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2spme---
δρῶ	drw=	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v1spsa---
δρῶ	drw=	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v1spsa---
δρῶ	drw=	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v1spia---
δρῶ	drw=	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v1spia---
δρῶ	drw=	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v2siie---
δρῶ	drw=	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v2siie---
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppamv-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppamv-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppann-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppann-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppanv-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppanv-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppana-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppana-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppamn-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppamn-
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v3piia---
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v3piia---
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v1siia---
δρῶν	drw=n	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v1siia---
δρῶντος	drw=ntos	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppamg-
δρῶντος	drw=ntos	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppamg-
δρῶντος	drw=ntos	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppang-
δρῶντος	drw=ntos	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppang-
δρῶντά	drw=nta/	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-pppann-
δρῶντά	drw=nta/	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-pppann-
δρῶντά	drw=nta/	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-pppanv-
δρῶντά	drw=nta/	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-pppanv-
δρῶντά	drw=nta/	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-pppana-
δρῶντά	drw=nta/	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-pppana-
δρῶντά	drw=nta/	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28360	v-sppama-
δρῶντά	drw=nta/	δράω	dra/w	urn:cite2:hmt:lsj.chicago_md:n28361	v-sppama-
δυνάμενοι	duna/menoi	δύναμαι	du/namai	urn:cite2:hmt:lsj.chicago_md:n28566	v-pppemn-
δυνάμενοι	duna/menoi	δύναμαι	du/namai	urn:cite2:hmt:lsj.chicago_md:n28566	v-pppemv-
δυοῖν	duoi=n	δύο	du/o	urn:cite2:hmt:lsj.chicago_md:n28592	m-d---mg-
δυοῖν	duoi=n	δύο	du/o	urn:cite2:hmt:lsj.chicago_md:n28592	m-d---md-
δυοῖν	duoi=n	δύο	du/o	urn:cite2:hmt:lsj.chicago_md:n28592	m-d---fg-
δυοῖν	duoi=n	δύο	du/o	urn:cite2:hmt:lsj.chicago_md:n28592	m-d---fd-
δυοῖν	duoi=n	δύο	du/o	urn:cite2:hmt:lsj.chicago_md:n28592	m-d---ng-
δυοῖν	duoi=n	δύο	du/o	urn:cite2:hmt:lsj.chicago_md:n28592	m-d---nd-
δυσαίων	dusai/wn	δυσαής	dusah/s	urn:cite2:hmt:lsj.chicago_md:n28628	n-p---mg-
δυσαίων	dusai/wn	δυσαής	dusah/s	urn:cite2:hmt:lsj.chicago_md:n28628	n-p---fg-
δυσαίων	dusai/wn	δυσαής	dusah/s	urn:cite2:hmt:lsj.chicago_md:n28628	n-p---ng-
δυσαίων	dusai/wn	δυσαίων	dusai/wn	urn:cite2:hmt:lsj.chicago_md:n28641	n-s---mn-
δυσαίων	dusai/wn	δυσαίων	dusai/wn	urn:cite2:hmt:lsj.chicago_md:n28641	n-s---mv-
δυσαίων	dusai/wn	δυσαίων	dusai/wn	urn:cite2:hmt:lsj.chicago_md:n28641	n-s---fn-
δυσαίων	dusai/wn	δυσαίων	dusai/wn	urn:cite2:hmt:lsj.chicago_md:n28641	n-s---fv-
δυσμόροιν	dusmo/roin	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-d---mg-
δυσμόροιν	dusmo/roin	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-d---md-
δυσμόροιν	dusmo/roin	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-d---fg-
δυσμόροιν	dusmo/roin	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-d---fd-
δυσμόροιν	dusmo/roin	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-d---ng-
δυσμόροιν	dusmo/roin	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-d---nd-
δυσμόρου	dusmo/rou	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-s---mg-
δυσμόρου	dusmo/rou	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-s---fg-
δυσμόρου	dusmo/rou	δύσμορος	du/smoros	urn:cite2:hmt:lsj.chicago_md:n29256	n-s---ng-
δυσμᾶν	dusma=n	δυσμή	dusmh/	urn:cite2:hmt:lsj.chicago_md:n29241	n-p---fg-
δυσπινεῖς	duspinei=s	δυσπινής	duspinh/s	urn:cite2:hmt:lsj.chicago_md:n29408	n-p---ma-
δυσπινεῖς	duspinei=s	δυσπινής	duspinh/s	urn:cite2:hmt:lsj.chicago_md:n29408	n-p---fa-
δυσπινεῖς	duspinei=s	δυσπινής	duspinh/s	urn:cite2:hmt:lsj.chicago_md:n29408	n-p---mn-
δυσπινεῖς	duspinei=s	δυσπινής	duspinh/s	urn:cite2:hmt:lsj.chicago_md:n29408	n-p---mv-
δυσπινεῖς	duspinei=s	δυσπινής	duspinh/s	urn:cite2:hmt:lsj.chicago_md:n29408	n-p---fn-
δυσπινεῖς	duspinei=s	δυσπινής	duspinh/s	urn:cite2:hmt:lsj.chicago_md:n29408	n-p---fv-
δυσπραξίας	duspraci/as	δυσπραξία	duspraci/a	urn:cite2:hmt:lsj.chicago_md:n29450	n-p---fa-
δυσπραξίας	duspraci/as	δυσπραξία	duspraci/a	urn:cite2:hmt:lsj.chicago_md:n29450	n-s---fg-
δυσπρόσοιστον	duspro/soiston	δυσπρόσοιστος	duspro/soistos	urn:cite2:hmt:lsj.chicago_md:n29464	n-s---ma-
δυσπρόσοιστον	duspro/soiston	δυσπρόσοιστος	duspro/soistos	urn:cite2:hmt:lsj.chicago_md:n29464	n-s---fa-
δυσπρόσοιστον	duspro/soiston	δυσπρόσοιστος	duspro/soistos	urn:cite2:hmt:lsj.chicago_md:n29464	n-s---nn-
δυσπρόσοιστον	duspro/soiston	δυσπρόσοιστος	duspro/soistos	urn:cite2:hmt:lsj.chicago_md:n29464	n-s---nv-
δυσπρόσοιστον	duspro/soiston	δυσπρόσοιστος	duspro/soistos	urn:cite2:hmt:lsj.chicago_md:n29464	n-s---na-
δυσπρόσοπτον	duspro/sopton	δυσπρόσοπτος	duspro/soptos	urn:cite2:hmt:lsj.chicago_md:n29465	n-s---ma-
δυσπρόσοπτον	duspro/sopton	δυσπρόσοπτος	duspro/soptos	urn:cite2:hmt:lsj.chicago_md:n29465	n-s---fa-
δυσπρόσοπτον	duspro/sopton	δυσπρόσοπτος	duspro/soptos	urn:cite2:hmt:lsj.chicago_md:n29465	n-s---nn-
δυσπρόσοπτον	duspro/sopton	δυσπρόσοπτος	duspro/soptos	urn:cite2:hmt:lsj.chicago_md:n29465	n-s---nv-
δυσπρόσοπτον	duspro/sopton	δυσπρόσοπτος	duspro/soptos	urn:cite2:hmt:lsj.chicago_md:n29465	n-s---na-
δυσπόνητον	duspo/nhton	δυσπόνητος	duspo/nhtos	urn:cite2:hmt:lsj.chicago_md:n29431	n-s---ma-
δυσπόνητον	duspo/nhton	δυσπόνητος	duspo/nhtos	urn:cite2:hmt:lsj.chicago_md:n29431	n-s---fa-
δυσπόνητον	duspo/nhton	δυσπόνητος	duspo/nhtos	urn:cite2:hmt:lsj.chicago_md:n29431	n-s---nn-
δυσπόνητον	duspo/nhton	δυσπόνητος	duspo/nhtos	urn:cite2:hmt:lsj.chicago_md:n29431	n-s---nv-
δυσπόνητον	duspo/nhton	δυσπόνητος	duspo/nhtos	urn:cite2:hmt:lsj.chicago_md:n29431	n-s---na-
