Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
Κολαινίς	*kolaini/s	Κολαινίς	*kolaini/s	n-s---fn-
Κολωνός	*kolwno/s	Κολωνός	*kolwno/s	n-s---mn-
Κολωνός	*kolwno/s	κολωνός	kolwno/s	n-s---mn-
Κομπασεύς	*kompaseu/s	Κομπασεύς	*kompaseu/s	n-s---mn-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	a-p---fg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	a-p---mg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	a-p---ng-
Κορκυραῖα	*korkurai=a	Κορκυραῖος	*korkurai=os	a-p---nn-
Κορκυραῖα	*korkurai=a	Κορκυραῖος	*korkurai=os	a-p---nv-
Κορκυραῖα	*korkurai=a	Κορκυραῖος	*korkurai=os	a-p---na-
Κορίνθου	*kori/nqou	Κόρινθος	*ko/rinqos	n-s---fg-
Κραναῶν	*kranaw=n	Κρανάη	*krana/h	n-p---fg-
Κραναῶν	*kranaw=n	Κραναή	*kranah/	n-p---fg-
Κραναῶν	*kranaw=n	Κραναός	*kranao/s	n-p---mg-
Κραναῶν	*kranaw=n	κραναός	kranao/s	a-p---fg-
Κραναῶν	*kranaw=n	κραναός	kranao/s	a-p---mg-
Κραναῶν	*kranaw=n	κραναός	kranao/s	a-p---ng-
Κρόνον	*kro/non	Κρόνος	*kro/nos	n-s---ma-
Κρόνον	*kro/non	κρόνος	kro/nos	n-s---ma-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	n-s---mg-
Κυβέλη	*kube/lh	Κυβέλη	*kube/lh	n-s---fn-
Κυβέλη	*kube/lh	Κυβέλη	*kube/lh	n-s---fv-
Κυβέλη	*kube/lh	κυβέλη	kube/lh	n-s---fn-
Κυβέλη	*kube/lh	κυβέλη	kube/lh	n-s---fv-
Κάρ	*ka/r	Κάρ	*ka/r	n-s---mn-
Κάρ	*ka/r	κάρ	ka/r	n-s---nv-
Κάρ	*ka/r	κάρ	ka/r	n-s---na-
Κάρ	*ka/r	κάρ	ka/r	n-s---nn-
Κάρ	*ka/r	κατά	kata/	r--------
Κᾶρες	*ka=res	Κάρ	*ka/r	n-p---mn-
Κᾶρες	*ka=res	Κάρ	*ka/r	n-p---mv-
Κᾶρες	*ka=res	Κάρ	*ka/r	n-p---mn-
Λαισποδίας	*laispodi/as	Λαισποδίας	*laispodi/as	n-s---mn-
Λακεδαίμονι	*lakedai/moni	Λακεδαίμων	*lakedai/mwn	n-s---fd-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	n-s---fg-
Λεωτροφίδῃ	*lewtrofi/dh|	Λεωτροφίδης	*lewtrofi/dhs	n-s---md-
Λητοῖ	*lhtoi=	Λητώ	*lhtw/	n-s---fd-
Λιβυκόν	*libuko/n	Λιβυκός	*libuko/s	a-s---ma-
Λιβυκόν	*libuko/n	Λιβυκός	*libuko/s	a-s---nn-
Λιβυκόν	*libuko/n	Λιβυκός	*libuko/s	a-s---nv-
Λιβυκόν	*libuko/n	Λιβυκός	*libuko/s	a-s---na-
Λιβύην	*libu/hn	Λιβύη	*libu/h	n-s---fa-
Λιβύης	*libu/hs	Λιβύη	*libu/h	n-s---fg-
Λοκρίδος	*lokri/dos	Λοκρίς	*lokri/s	n-s---fg-
Λοκρίδος	*lokri/dos	Λοκρός	*lokro/s	n-s---fg-
Λυδόν	*ludo/n	Λυδός	*ludo/s	n-s---ma-
Λυδόν	*ludo/n	Λυδός	*ludo/s	a-s---ma-
Λυδόν	*ludo/n	Λυδός	*ludo/s	a-s---nn-
Λυδόν	*ludo/n	Λυδός	*ludo/s	a-s---nv-
Λυδόν	*ludo/n	Λυδός	*ludo/s	a-s---na-
Λυκούργῳ	*lukou/rgw|	Λυκοῦργος	*lukou=rgos	n-s---md-
Λυσικράτη	*lusikra/th	Λυσικράτης	*lusikra/ths	n-d---mn-
Λυσικράτη	*lusikra/th	Λυσικράτης	*lusikra/ths	n-d---mv-
Λυσικράτη	*lusikra/th	Λυσικράτης	*lusikra/ths	n-d---ma-
Λυσικράτη	*lusikra/th	Λυσικράτης	*lusikra/ths	n-s---ma-
Λάμπων	*la/mpwn	Λάμπος	*la/mpos	n-p---mg-
Λάμπων	*la/mpwn	Λάμπων	*la/mpwn	n-s---mn-
Λάμπων	*la/mpwn	Λάμπων	*la/mpwn	n-s---mv-
Λάμπων	*la/mpwn	λάμπω	la/mpw	v-sppamn-
Λέπρεον	*le/preon	Λέπρεον	*le/preon	n-s---nn-
Λέπρεον	*le/preon	Λέπρεον	*le/preon	n-s---nv-
Λέπρεον	*le/preon	Λέπρεον	*le/preon	n-s---na-
Λέπρεον	*le/preon	Λέπρεος	*le/preos	n-s---ma-
Λέπρεον	*le/preon	λεπράω	lepra/w	v3piia---
Λέπρεον	*le/preon	λεπράω	lepra/w	v1siia---
Μανόδωρε	*mano/dwre	Μανόδωρος	*mano/dwros	n-s---mv-
Μανᾶς	*mana=s	μανός	mano/s	a-s---fg-
Μανῆς	*manh=s	μανός	mano/s	a-s---fg-
Μαραθῶνος	*maraqw=nos	Μαραθών	*maraqw/n	n-s---mg-
Μεγαβάζου	*megaba/zou	Μεγάβαζος	*mega/bazos	n-s---mg-
Μειδίας	*meidi/as	Μείδιος	*mei/dios	a-p---fa-
Μειδίας	*meidi/as	Μείδιος	*mei/dios	a-s---fg-
Μειδίας	*meidi/as	Μειδίας	*meidi/as	n-p---ma-
Μειδίας	*meidi/as	Μειδίας	*meidi/as	n-s---mn-
Μειδίας	*meidi/as	μειδιάω	meidia/w	v2siia---
Μελανθίου	*melanqi/ou	Μελάνθιος	*mela/nqios	n-s---mg-
Μελανθίου	*melanqi/ou	μελάνθιον	mela/nqion	n-s---ng-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μενίππῳ	*meni/ppw|	Μένιππος	*me/nippos	n-s---md-
Μηλίῳ	*mhli/w|	Μήλιος	*mh/lios	a-s---md-
Μηλίῳ	*mhli/w|	Μήλιος	*mh/lios	a-s---nd-
Μουνιχιῶνα	*mounixiw=na	Μουνιχιών	*mounixiw/n	n-s---ma-
Μουνιχιῶνα	*mounixiw=na	μουνιχιών	mounixiw/n	n-s---ma-
Μουσάων	*mousa/wn	Μοῦσα	*mou=sa	n-p---fg-
Μουσάων	*mousa/wn	Μοῦσαι	*mou=sai	n-p---fg-
Μουσάων	*mousa/wn	Μοῦσαι	*mou=sai	n-p---fg-
Μούσαις	*mou/sais	Μοῦσα	*mou=sa	n-p---fd-
Μούσαις	*mou/sais	Μοῦσαι	*mou=sai	n-p---fd-
