urn:cite2:hmt:lsj.chicago_md:n68	ἀβδέλυκτος; not to be abominated
urn:cite2:hmt:lsj.chicago_md:n69	Ἀβδηρίτης; a man of Abdera; Gothamite; like an Abderite; stupid
urn:cite2:hmt:lsj.chicago_md:n70	ἄβδης; scourge
urn:cite2:hmt:lsj.chicago_md:n71	ἀβέβαιος; unreliable; unsteady; an insecure position; unstable, fickle
urn:cite2:hmt:lsj.chicago_md:n72	ἀβεβαιότης; instability
urn:cite2:hmt:lsj.chicago_md:n73	ἀβέβηλος; sacred, inviolable; pure
urn:cite2:hmt:lsj.chicago_md:n74	ἄβεις
urn:cite2:hmt:lsj.chicago_md:n75	ἄβελλον
urn:cite2:hmt:lsj.chicago_md:n76	ἀβελτέρειος
urn:cite2:hmt:lsj.chicago_md:n77	ἀβελτερεύομαι; play the fool
urn:cite2:hmt:lsj.chicago_md:n78	ἀβελτερία; silliness, fatuity
urn:cite2:hmt:lsj.chicago_md:n79	ἀβελτεροκόκκυξ; silly fellow
urn:cite2:hmt:lsj.chicago_md:n80	ἀβέλτερος; silly, stupid
urn:cite2:hmt:lsj.chicago_md:n81	ἀβέρβηλον
urn:cite2:hmt:lsj.chicago_md:n82	ἀβηδών
urn:cite2:hmt:lsj.chicago_md:n83	ἀβήρει
urn:cite2:hmt:lsj.chicago_md:n84	ἀβηροῦσιν
urn:cite2:hmt:lsj.chicago_md:n85	ἀβίαστος; unforced, without force; violence; shall maintain order; unstrained, unaffected; not liable to compulsion; irresistible
urn:cite2:hmt:lsj.chicago_md:n86	ἀβίβαστος
urn:cite2:hmt:lsj.chicago_md:n87	ἀβίβλης; without books
urn:cite2:hmt:lsj.chicago_md:n88	ἄβιδα
urn:cite2:hmt:lsj.chicago_md:n89	ἄβιν
urn:cite2:hmt:lsj.chicago_md:n90	ἄβιος; not to be survived; without a living, starving; having no fixed subsistence, nomad
urn:cite2:hmt:lsj.chicago_md:n91	ἄβιος; wealthy
urn:cite2:hmt:lsj.chicago_md:n92	ἀβίοτος; making life unliveable
urn:cite2:hmt:lsj.chicago_md:n93	ἀβίυκτον
urn:cite2:hmt:lsj.chicago_md:n94	ἀβιωτοποιός; making life insupportable
