urn:cite2:hmt:lsj.chicago_md:n122	ἀβοαί·	aboai
urn:cite2:hmt:lsj.chicago_md:n123	ἀβοᾱτί	aboati
urn:cite2:hmt:lsj.chicago_md:n124	ἀβοηθ-ησία	abohqhsia
urn:cite2:hmt:lsj.chicago_md:n125	ἀβοήθ-ητος	abohqhtos
urn:cite2:hmt:lsj.chicago_md:n126	ἀβοηθί	abohqi
urn:cite2:hmt:lsj.chicago_md:n127	ἀβοητί	abohti
urn:cite2:hmt:lsj.chicago_md:n128	ἀβόητος	abohtos
urn:cite2:hmt:lsj.chicago_md:n129	ἀβολαία	abolaia
urn:cite2:hmt:lsj.chicago_md:n130	ἀβολέω	abolew
urn:cite2:hmt:lsj.chicago_md:n131	ἀβολ-ητύς	abolhtus
urn:cite2:hmt:lsj.chicago_md:n132	ἀβολ-ήτωρ	abolhtwr
urn:cite2:hmt:lsj.chicago_md:n133	ἀβόλλα	abolla
urn:cite2:hmt:lsj.chicago_md:n134	ἄβολος	abolos
urn:cite2:hmt:lsj.chicago_md:n135	ἀβόρβορος	aborboros
urn:cite2:hmt:lsj.chicago_md:n136	Ἀβοριγῖνες	aborigines
urn:cite2:hmt:lsj.chicago_md:n137	ἄβορος	aboros
urn:cite2:hmt:lsj.chicago_md:n138	ἀβοσκ-ής	aboskhs
urn:cite2:hmt:lsj.chicago_md:n139	ἀβόσκ-ητος	aboskhtos
urn:cite2:hmt:lsj.chicago_md:n140	ἄβοστοι·	abostoi
urn:cite2:hmt:lsj.chicago_md:n141	ἄβοτος	abotos
urn:cite2:hmt:lsj.chicago_md:n142	ἀβουκόλητος	aboukolhtos
urn:cite2:hmt:lsj.chicago_md:n143	ἀβουλ-εί	aboulei
urn:cite2:hmt:lsj.chicago_md:n144	ἀβούλευτος	abouleutos
urn:cite2:hmt:lsj.chicago_md:n145	ἀβουλ-έω	aboulew
urn:cite2:hmt:lsj.chicago_md:n146	ἀβούλ-ητος	aboulhtos
urn:cite2:hmt:lsj.chicago_md:n147	ἀβουλ-ία	aboulia
urn:cite2:hmt:lsj.chicago_md:n148	ἄβουλ-ος	aboulos
urn:cite2:hmt:lsj.chicago_md:n149	ἀβουσκολεῖ·	abouskolei
urn:cite2:hmt:lsj.chicago_md:n150	ἀβούτης	abouths
urn:cite2:hmt:lsj.chicago_md:n151	ἄβουτον·	abouton
urn:cite2:hmt:lsj.chicago_md:n152	ἅβρα	abra
urn:cite2:hmt:lsj.chicago_md:n153	ἀβράβεσθαι·	abrabesqai
urn:cite2:hmt:lsj.chicago_md:n154	ἀβραμίδιον	abramidion
urn:cite2:hmt:lsj.chicago_md:n155	ἀβρᾰμίς	abramis
urn:cite2:hmt:lsj.chicago_md:n156	ἀβραμύας	abramuas
urn:cite2:hmt:lsj.chicago_md:n157	ἄβραχος	abraxos
urn:cite2:hmt:lsj.chicago_md:n158	ἄβρεκτος	abrektos
urn:cite2:hmt:lsj.chicago_md:n159	ἀβρεμής·	abremhs
urn:cite2:hmt:lsj.chicago_md:n160	ἁβρίζομαι	abrizomai
urn:cite2:hmt:lsj.chicago_md:n161	ἀβρῑθής	abriqhs
urn:cite2:hmt:lsj.chicago_md:n162	ἄβρικτος	abriktos
urn:cite2:hmt:lsj.chicago_md:n163	ἀβρινά·	abrina
urn:cite2:hmt:lsj.chicago_md:n164	ἁβρο-βάτης	abrobaths
urn:cite2:hmt:lsj.chicago_md:n165	ἁβρό-βιος	abrobios
urn:cite2:hmt:lsj.chicago_md:n166	ἁβρο-βόστρυχος	abrobostruxos
